bedrooms,bathrooms,sqft,lot_size_acres,age_years,distance_city_center_km,crime_rate_index,school_rating,price
4.0,1.0,3816.0,0.61,31.0,13.58,1.06,4.0,1181818.01
5.0,1.0,4209.0,0.71,67.0,5.77,7.09,2.0,1281567.77
3.0,3.0,4319.0,0.93,17.0,4.38,3.52,9.0,1431253.97
5.0,2.0,902.0,0.79,42.0,16.85,0.17,9.0,686784.74
5.0,1.0,3391.0,0.1,34.0,27.17,4.09,2.0,998632.82
2.0,3.0,1187.0,0.86,77.0,10.97,2.42,9.0,628699.52
3.0,2.0,1586.0,0.26,57.0,22.26,8.21,6.0,615132.44
3.0,1.0,2463.0,0.41,32.0,20.1,3.44,8.0,798067.73
3.0,2.0,944.0,0.49,13.0,28.02,8.29,10.0,603638.13
5.0,3.0,1413.0,0.51,33.0,24.81,0.11,4.0,742686.37
4.0,1.0,2587.0,0.46,60.0,17.43,3.15,2.0,787020.22
3.0,2.0,3448.0,0.94,3.0,20.05,2.49,2.0,1152930.62
5.0,1.0,3672.0,0.72,58.0,27.05,2.41,9.0,1179944.93
2.0,2.0,3818.0,0.65,28.0,12.59,0.78,1.0,1054147.46
4.0,3.0,1910.0,0.1,5.0,10.48,1.95,7.0,822819.58
2.0,3.0,2599.0,0.91,48.0,1.31,5.6,3.0,915342.86
4.0,1.0,2277.0,0.91,39.0,24.97,2.98,3.0,845584.83
5.0,2.0,3724.0,0.79,64.0,24.23,4.23,2.0,1190780.62
1.0,1.0,1927.0,0.06,68.0,4.03,3.83,10.0,579340.58
4.0,1.0,1692.0,0.1,26.0,17.73,8.77,6.0,660629.58
2.0,2.0,3008.0,0.26,79.0,14.46,9.06,10.0,868255.06
5.0,2.0,4273.0,0.17,5.0,4.44,4.98,2.0,1311303.42
4.0,2.0,15564.0,0.43,12.0,29.44,3.37,10.0,7029755.040000001
1.0,3.0,1609.0,0.93,63.0,7.23,1.16,4.0,650281.35
1.0,1.0,1303.0,0.5,61.0,2.95,9.54,10.0,494356.74
3.0,1.0,1174.0,0.06,18.0,18.25,0.7,9.0,551075.16
3.0,3.0,2208.0,0.32,75.0,22.43,3.05,9.0,775433.15
2.0,2.0,3832.0,0.09,79.0,1.94,3.05,6.0,977775.89
4.0,3.0,4352.0,0.08,42.0,20.1,3.27,4.0,1241551.55
4.0,3.0,1712.0,0.31,73.0,16.44,1.73,7.0,719980.05
3.0,3.0,1287.0,0.31,19.0,3.99,7.85,1.0,623980.47
4.0,1.0,3428.0,0.8,67.0,6.0,1.31,4.0,1125567.88
4.0,3.0,3232.0,0.98,43.0,17.47,6.39,5.0,1168007.77
1.0,1.0,4428.0,0.4,22.0,9.59,1.33,8.0,1133534.19
3.0,1.0,3236.0,0.46,1.0,28.21,0.8,2.0,941957.44
5.0,1.0,3830.0,0.85,21.0,24.74,9.1,5.0,1246619.75
3.0,2.0,1088.0,0.3,56.0,29.52,1.98,6.0,517827.41
5.0,1.0,3618.0,0.2,71.0,8.53,8.23,5.0,1072936.99
1.0,1.0,1947.0,0.86,6.0,29.12,5.49,9.0,695486.2
2.0,2.0,4281.0,0.09,77.0,13.51,0.87,10.0,1075648.03
4.0,1.0,4052.0,0.64,55.0,11.08,9.56,1.0,1118659.79
1.0,3.0,3773.0,0.58,66.0,2.46,2.54,3.0,1039873.55
4.0,3.0,1093.0,0.38,15.0,2.53,8.61,2.0,654569.3
2.0,1.0,2267.0,0.35,50.0,21.07,1.77,3.0,668596.58
2.0,2.0,2237.0,0.78,79.0,14.28,8.55,10.0,796508.59
1.0,3.0,618.0,0.13,71.0,7.57,0.23,9.0,363389.51
2.0,2.0,4125.0,0.27,11.0,18.81,5.17,9.0,1149558.97
5.0,2.0,4153.0,0.75,52.0,8.33,7.72,10.0,1352215.34
