Square_Feet,Num_Bedrooms,Num_Bathrooms,Year_Built,Garage_Size,Dist_To_Center_KM,School_Rating,Walkability_Score,Price
2248,4,3,1978,2,27.91,10,43,618000.0
1930,1,2,1982,3,4.31,6,96,454600.0
2323,3,4,2009,3,2.79,7,87,664800.0
2761,5,5,2004,2,10.67,3,79,679800.0
1882,3,4,1959,3,2.22,3,100,524500.0
1882,3,3,1996,2,3.78,10,92,571700.0
2789,6,6,1972,0,2.54,8,98,764900.0
2383,1,2,1970,2,0.72,5,97,556300.0
1765,6,6,1962,0,17.57,4,65,484200.0
2271,1,3,1982,2,2.94,7,96,606900.0
1768,1,1,1973,2,6.41,7,84,460300.0
1767,2,3,1960,0,0.5,9,100,560400.0
2120,4,3,1966,1,12.02,9,78,570900.0
1043,2,2,2017,3,4.01,5,98,347900.0
1137,4,3,1996,2,13.65,8,78,437700.0
1718,6,5,1974,1,5.32,10,91,617400.0
1493,4,4,2022,2,2.18,1,100,429700.0
2157,6,6,1970,2,7.2,9,86,600000.0
1545,3,2,1961,2,1.4,8,93,496500.0
1293,3,4,1986,3,5.81,6,88,467300.0
2732,4,3,1991,2,3.82,3,87,642300.0
1887,4,4,1966,2,24.3,3,40,450400.0
2033,6,5,1997,3,0.63,8,94,648800.0
1287,2,3,1977,3,11.84,5,76,436400.0
1727,6,4,1990,1,2.02,10,100,573100.0
2055,2,3,1996,1,3.84,7,88,554900.0
1424,3,2,1967,1,5.37,5,94,417400.0
2187,1,3,2020,2,23.86,8,46,578000.0
1699,4,3,1962,2,2.78,10,89,567000.0
1854,2,4,1962,2,0.96,10,100,561600.0
1699,6,4,1980,3,3.84,4,92,548900.0
2926,3,4,1951,2,1.11,2,96,629700.0
1993,2,3,1965,1,1.38,3,98,439500.0
1471,6,6,1958,2,8.53,8,76,555300.0
2411,4,4,2022,2,0.63,7,97,685800.0
1389,4,4,1987,2,0.5,2,99,477400.0
2104,5,5,2024,2,12.53,6,81,625300.0
1020,1,1,2003,3,4.49,9,82,371000.0
1335,5,3,2005,2,1.34,4,100,416400.0
2098,3,2,1994,2,2.93,9,93,629800.0
2369,2,2,1983,2,10.27,2,73,483700.0
2085,3,2,1958,2,3.22,2,87,434100.0
1942,6,5,1957,1,6.82,9,87,643700.0
1849,4,3,1956,2,1.3,7,90,528400.0
1260,5,4,1985,0,8.87,7,79,489900.0
1640,5,4,1967,3,3.8,1,91,426500.0
1769,5,4,1952,0,9.86,6,85,546000.0
2528,3,4,1977,2,16.52,7,72,649000.0
2171,4,5,2019,2,9.46,6,77,600700.0
1118,2,3,1993,3,3.51,6,91,373200.0
2162,6,6,1970,1,2.95,2,86,633500.0
1807,2,2,1977,1,3.97,6,81,478900.0
1661,3,2,2003,0,1.8,4,90,435500.0
2305,6,5,2003,1,2.0,9,100,740400.0
2515,5,3,2014,1,15.64,1,72,579100.0
2465,1,2,1970,2,4.86,8,92,632100.0
1580,3,3,1962,1,5.73,5,81,446600.0
1845,3,2,2006,0,9.02,1,78,471200.0
2165,4,5,1998,3,8.91,4,77,550700.0
2487,2,2,2003,2,0.7,1,97,521900.0
1760,3,2,1959,2,17.81,6,63,465100.0
1907,3,3,2002,2,1.95,2,91,514800.0
1446,5,4,1993,3,12.84,5,76,491700.0
1401,5,4,1996,1,14.81,7,71,484000.0
2406,6,5,2002,3,12.55,2,71,592400.0
2678,1,3,2023,2,8.65,6,84,667700.0
1963,4,5,1995,0,0.5,6,100,602600.0
