transaction_id,amount,time_in_seconds,customer_age,customer_tenure_months,transaction_location,merchant_category,is_international,card_type,fraud
1,1873.33,74971,61,30,Bangalore,Electronics,0,Credit,0
2,4753.62,162,57,83,Bangalore,Clothing,1,Debit,1
3,3660.24,34742,60,49,Pune,Travel,0,Debit,1
4,2993.69,19675,39,89,Mumbai,Clothing,0,Debit,0
5,780.94,73997,37,16,Pune,Electronics,1,Credit,1
6,780.82,17015,25,111,Mumbai,Electronics,0,Credit,0
7,291.36,50057,46,118,Delhi,Electronics,0,Credit,0
8,4331.01,32591,57,104,Pune,Electronics,0,Credit,1
9,3005.97,9833,43,51,Mumbai,Groceries,1,Debit,0
10,3540.65,7896,47,72,Delhi,Clothing,0,Debit,1
11,103.9,32972,34,82,Pune,Luxury,0,Credit,1
12,4849.58,49733,37,92,Bangalore,Travel,0,Credit,0
13,4162.38,41800,69,80,Pune,Electronics,0,Credit,0
14,1062.48,5347,72,116,Hyderabad,Clothing,0,Debit,0
15,909.94,59063,33,83,Pune,Electronics,0,Credit,0
16,917.84,2643,63,42,Hyderabad,Electronics,0,Debit,0
17,1521.91,40785,60,17,Delhi,Electronics,0,Credit,0
18,2624.26,18681,24,63,Pune,Electronics,0,Debit,0
19,2160.29,50026,33,45,Delhi,Electronics,0,Debit,0
20,1456.85,15892,62,77,Delhi,Travel,0,Credit,0
21,3059.65,47299,64,7,Mumbai,Clothing,1,Debit,1
22,698.33,17073,73,27,Delhi,Electronics,0,Debit,0
23,1461.43,30682,65,10,Delhi,Electronics,0,Credit,0
24,1832.44,14289,44,34,Pune,Electronics,0,Debit,0
25,2280.89,7927,70,36,Pune,Electronics,0,Credit,0
26,3926.09,48330,40,25,Bangalore,Groceries,0,Debit,0
27,999.17,66707,41,6,Mumbai,Groceries,0,Debit,0
28,2571.66,77454,26,24,Delhi,Luxury,0,Debit,0
29,2962.48,65428,52,18,Mumbai,Electronics,1,Debit,1
30,233.21,50601,68,87,Hyderabad,Luxury,0,Credit,0
31,3038.12,77465,37,6,Delhi,Travel,0,Credit,0
32,853.45,2539,54,29,Mumbai,Luxury,0,Credit,0
33,326.19,22669,59,25,Bangalore,Clothing,1,Debit,1
34,4744.48,70968,34,55,Bangalore,Groceries,0,Debit,1
35,4828.19,20644,64,81,Delhi,Groceries,0,Credit,1
36,4042.18,18745,48,46,Hyderabad,Electronics,0,Credit,0
37,1523.76,28228,72,24,Bangalore,Electronics,0,Credit,0
38,489.26,34521,74,75,Bangalore,Travel,0,Credit,0
39,3421.48,26928,25,26,Hyderabad,Travel,0,Debit,0
40,2201.32,18322,32,115,Mumbai,Clothing,0,Credit,0
41,611.07,57714,48,98,Bangalore,Electronics,0,Debit,0
42,2476.39,62292,70,28,Pune,Electronics,0,Credit,0
43,172.91,29055,47,3,Bangalore,Travel,0,Debit,0
44,4546.69,42891,63,75,Mumbai,Travel,0,Credit,0
45,1294.64,81912,37,38,Mumbai,Travel,0,Credit,0
46,3312.95,6588,56,61,Delhi,Groceries,0,Debit,0
47,1559.24,6304,70,78,Pune,Luxury,0,Debit,0
48,2600.82,7345,72,51,Mumbai,Luxury,0,Credit,0
49,2734.0,29300,29,90,Hyderabad,Electronics,0,Debit,0
50,925.09,24259,66,48,Pune,Groceries,0,Credit,0
51,4847.95,15352,34,21,Pune,Travel,1,Debit,0
52,3875.89,33365,59,54,Hyderabad,Electronics,0,Credit,0
53,4697.56,19446,47,56,Bangalore,Groceries,0,Credit,0
54,4474.24,2336,46,103,Hyderabad,Clothing,0,Credit,0
55,2989.9,62032,36,94,Hyderabad,Groceries,0,Credit,0
56,4609.45,75415,63,59,Bangalore,Electronics,0,Credit,1
57,443.37,7521,28,72,Bangalore,Luxury,0,Credit,0
58,980.72,71707,51,51,Bangalore,Travel,1,Credit,0
59,227.09,23481,67,20,Bangalore,Clothing,0,Credit,0
60,1627.33,18474,24,112,Bangalore,Groceries,1,Debit,1
61,1944.0,46760,61,96,Hyderabad,Electronics,0,Debit,0
62,1357.47,55718,51,86,Delhi,Electronics,0,Debit,0
63,4143.86,44629,37,59,Delhi,Travel,0,Credit,0
